iter	RMSE
0	9.693976294
1	8.884873694
2	8.04202186
3	7.40061712
4	6.914994452
5	6.433946258
6	5.961667771
7	5.583339081
8	5.200689913
9	4.8891017
10	4.62560438
11	4.419126373
12	4.230687344
13	4.055739023
14	3.887739071
15	3.751877542
16	3.655230986
17	3.484811281
18	3.299958133
19	3.182069204
20	3.035387091
21	2.957073671
22	2.872636219
23	2.817976157
24	2.733795007
25	2.634543405
26	2.553934858
27	2.492585942
28	2.435961248
29	2.396831142
30	2.337793708
31	2.298545027
32	2.259257975
33	2.202603704
34	2.127425744
35	2.083090521
36	2.069293822
37	2.035729251
38	1.984712702
39	1.942297976
40	1.91689412
41	1.886112509
42	1.869926072
43	1.835274998
44	1.805312725
45	1.777533295
46	1.743271193
47	1.703097621
48	1.675244073
49	1.654669019
50	1.632735637
51	1.623273575
52	1.597693804
53	1.573957332
54	1.54071208
55	1.517229122
56	1.489723238
57	1.476549988
58	1.458370907
59	1.442837664
60	1.428136768
61	1.416229433
62	1.40051442
63	1.388776017
64	1.37709597
65	1.366142936
66	1.349842729
67	1.333665581
68	1.323441237
69	1.299091115
70	1.274024531
71	1.250612661
72	1.241310603
73	1.227376547
74	1.218771062
75	1.207882996
76	1.18600829
77	1.176495918
78	1.168264723
79	1.161116525
80	1.149317627
81	1.139513513
82	1.126483694
83	1.093605909
84	1.077192164
85	1.065011321
86	1.057775864
87	1.033949787
88	1.022630244
89	1.015034774
90	1.003761745
91	0.9932037669
92	0.9714993449
93	0.9639888118
94	0.9435266047
95	0.9359427727
96	0.9054624314
97	0.8985183416
98	0.885807485
99	0.8784755456
