iter	Passed	Remaining
0	0	22
1	0	18
2	0	17
3	0	16
4	0	15
5	0	15
6	1	15
7	1	14
8	1	14
9	1	13
10	1	13
11	1	13
12	1	13
13	2	12
14	2	12
15	2	12
16	2	12
17	2	11
18	2	11
19	2	11
20	3	11
21	3	11
22	3	11
23	3	10
24	3	10
25	3	10
26	3	10
27	4	10
28	4	10
29	4	10
30	4	10
31	4	10
32	4	9
33	5	9
34	5	9
35	5	9
36	5	9
37	5	9
38	5	8
39	5	8
40	6	8
41	6	8
42	6	8
43	6	8
44	6	8
45	6	7
46	6	7
47	6	7
48	7	7
49	7	7
50	7	7
51	7	6
52	7	6
53	7	6
54	7	6
55	7	6
56	8	6
57	8	5
58	8	5
59	8	5
60	8	5
61	8	5
62	8	5
63	9	5
64	9	4
65	9	4
66	9	4
67	9	4
68	9	4
69	9	4
70	10	4
71	10	3
72	10	3
73	10	3
74	10	3
75	10	3
76	10	3
77	10	3
78	11	2
79	11	2
80	11	2
81	11	2
82	11	2
83	11	2
84	11	2
85	12	1
86	12	1
87	12	1
88	12	1
89	12	1
90	12	1
91	12	1
92	13	0
93	13	0
94	13	0
95	13	0
96	13	0
97	13	0
98	14	0
99	14	0
